Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
152,VOC,Vocus Group Ltd,$3.53,+0.12,+3.52%,$2.19 B,+4.44%
153,WPR,Waypoint REIT,$2.76,+0.03,+1.10%,$2.17 B,-4.50%
154,RRL,Regis Resources Ltd,$4.19,+0.04,+0.96%,$2.14 B,-16.37%
155,HLS,Healius Ltd,$3.43,+0.03,+0.88%,$2.14 B,+8.20%
156,AAA,Betashares Australian High Interest Cash ETF,$50.075,-0.005,-0.01%,$2.12 B,-0.01%
157,ILU,Iluka Resources Ltd,$5.01,-0.07,-1.38%,$2.12 B,-43.96%
158,CDA,Codan Ltd,$11.71,+0.04,+0.34%,$2.11 B,+82.68%
159,CTD,Corporate Travel Management Ltd,$15.47,+0.8,+5.45%,$2.10 B,-11.20%
160,MP1,Megaport Ltd,$13.60,+0.31,+2.33%,$2.10 B,+59.62%
161,DRR,Deterra Royalties Ltd,$3.95,-0.11,-2.71%,$2.09 B,-14.13%
162,CQR,Charter Hall Retail REIT,$3.59,+0.1,+2.87%,$2.05 B,-19.69%
163,SKC,Skycity Entertainment Group Ltd,$2.66,+0.16,+6.40%,$2.02 B,-27.32%
164,ABC,Adbri Ltd,$3.05,+0.1,+3.39%,$1.99 B,-3.18%
165,SGM,Sims Ltd,$9.84,+0.31,+3.25%,$1.98 B,-0.71%
166,ABP,Abacus Property Group,$2.96,+0.11,+3.86%,$1.97 B,-25.25%
167,IFL,IOOF Holdings Ltd,$3.01,+0.13,+4.51%,$1.95 B,-56.07%
168,VTS,Vanguard US Total Market Shares INDEX ETF,$240.83,+2.22,+0.93%,$1.94 B,+6.78%
169,SBM,ST Barbara Ltd,$2.74,+0.08,+3.01%,$1.93 B,-4.20%
170,NHF,Nib Holdings Ltd,$4.22,+0.08,+1.93%,$1.93 B,-39.89%
171,SLR,Silver Lake Resources Ltd,$2.17,+0.05,+2.36%,$1.91 B,+82.35%
172,HTA,Hutchison Telecommunications (Australia) Ltd,$0.14,+0.015,+12.00%,$1.90 B,+21.74%
173,NSR,National Storage REIT,$1.825,+0.02,+1.11%,$1.86 B,-3.69%
174,PTM,Platinum Asset Management Ltd,$3.15,+0.12,+3.96%,$1.85 B,-26.23%
175,MSB,Mesoblast Ltd,$3.13,+0.08,+2.62%,$1.84 B,+73.41%
176,IOO,Ishares Global 100 ETF,$78.59,+0.69,+0.89%,$1.82 B,+5.55%
177,CIA,Champion Iron Ltd,$3.81,+0.27,+7.63%,$1.80 B,+88.61%
178,TYR,Tyro Payments Ltd,$3.60,+0.02,+0.56%,$1.80 B,+6.51%
179,PBH,Pointsbet Holdings Ltd,$10.38,+0.58,+5.92%,$1.80 B,+159.57%
180,NIC,Nickel Mines Ltd,$0.84,-0.015,-1.75%,$1.79 B,+32.54%
181,MGE,Magellan Global Equities Fund (Managed Fund),$4.00,+0.02,+0.50%,$1.76 B,+4.99%
182,ELD,Elders Ltd,$11.30,+0.23,+2.08%,$1.76 B,+89.60%
183,IRE,Iress Ltd,$9.04,+0.07,+0.78%,$1.75 B,-29.76%
184,PNV,Polynovo Ltd,$2.55,+0.07,+2.82%,$1.69 B,+4.51%
185,VUK,Virgin Money Uk Plc,$1.755,+0.055,+3.24%,$1.68 B,-33.02%
186,-,WAM,WAM Capital Ltd,$2.27,0.00,0.00%,$1.68 B
187,RMS,Ramelius Resources Ltd,$2.06,+0.105,+5.37%,$1.67 B,+53.73%
188,DDR,Dicker Data Ltd,$9.63,-0.03,-0.31%,$1.66 B,+40.79%
189,VEU,Vanguard All-World Ex-US Shares INDEX ETF,$71.64,+1.13,+1.60%,$1.63 B,-5.05%
190,VAP,Vanguard Australian Property Securities INDEX ETF,$76.20,+1.61,+2.16%,$1.63 B,-16.78%
